split,class_label,branch_index,confuser_class,class_dim,basis_dim,member_size,seed_size,median_gain,val_fixed_by_this_branch,val_broken_by_this_branch,val_wrong_redirect_by_this_branch,test_fixed_by_this_branch,test_broken_by_this_branch,test_wrong_redirect_by_this_branch,net_fix_test,net_fix_val
0,0,1,1,64,64,94,24,0.42025998645333384,0,1,0,0,0,0,0,-1
0,0,2,2,64,64,84,16,0.32666221315941435,3,2,1,0,1,0,-1,1
0,1,1,0,48,48,97,37,0.5211923727238466,3,3,3,1,0,1,1,0
0,1,2,2,48,48,86,26,0.5581106716940232,2,0,0,1,0,1,1,2
0,2,1,0,64,64,84,28,1.129420846383089,1,1,1,1,0,0,1,0
0,2,2,4,64,64,84,25,1.2817875064780913,0,0,0,0,0,0,0,0
0,3,1,2,48,48,96,32,0.6601993056181985,0,1,0,0,0,0,0,-1
0,3,2,0,48,48,89,18,0.9994313466626785,1,3,0,1,0,0,1,-2
0,4,1,3,64,64,70,19,1.5431226235878328,0,0,0,0,0,0,0,0
0,4,2,0,64,64,66,12,1.4254416765528506,0,0,0,0,0,0,0,0
1,0,1,2,32,32,83,17,0.22805436046834715,3,1,1,2,0,2,2,2
1,1,1,0,32,32,87,34,0.5139478096262828,3,2,1,1,1,2,0,1
1,1,2,2,32,32,74,24,0.357452650060055,0,0,0,1,1,0,0,0
1,2,1,3,32,32,99,40,0.5026304475166068,0,0,0,0,0,0,0,0
1,2,2,0,32,32,89,27,0.577027423784628,2,0,3,2,2,4,0,2
1,3,1,2,32,32,103,34,0.3539667087960554,2,0,0,0,0,0,0,2
1,4,1,3,32,32,76,31,0.6606297287077012,1,0,1,0,0,1,0,1
2,1,1,0,48,48,99,34,0.5785562378939848,2,3,1,0,0,0,0,-1
2,1,2,2,48,48,85,23,0.7338146472921112,3,2,1,3,0,0,3,1
2,2,1,3,48,48,87,35,0.8636941659434467,0,0,0,0,0,0,0,0
2,2,2,1,48,48,77,22,1.014624079537508,2,0,0,2,1,0,1,2
2,3,1,2,48,48,110,37,0.38204051811682804,2,0,0,0,0,1,0,2
2,4,1,3,48,48,70,26,1.3567582249532393,0,0,0,0,0,0,0,0
2,4,2,1,48,48,63,12,1.3467703166868779,1,0,0,0,0,0,0,1
3,0,1,1,48,48,102,35,0.31822773605773547,0,1,2,2,1,1,1,-1
3,0,2,2,48,48,85,18,0.42717011363587387,2,0,1,0,0,0,0,2
3,1,1,0,64,64,93,29,0.7660602763394451,5,3,0,2,2,2,0,2
3,1,2,2,64,56,78,18,0.9308485898804604,1,0,0,1,0,0,1,1
3,2,1,3,64,64,87,37,1.1408169434892752,0,0,0,0,0,0,0,0
3,2,2,0,64,64,84,26,1.1409164834399799,4,0,1,3,0,0,3,4
3,3,1,2,64,64,111,38,0.7473926626747729,0,0,0,0,0,0,0,0
3,4,1,3,64,64,68,23,1.5601744213719169,0,0,0,0,0,0,0,0
4,0,1,1,32,32,81,21,0.24676365289637303,3,2,0,1,1,0,0,1
4,1,1,0,32,32,114,48,0.39174060205813355,1,2,0,0,1,0,-1,-1
4,1,2,4,32,32,87,15,0.2444789054248302,2,7,3,2,1,1,1,-5
4,2,1,0,32,32,79,26,0.592600922389698,0,2,1,2,0,0,2,-2
4,2,2,3,32,32,76,25,0.9296731289433611,1,0,1,0,1,0,-1,1
4,3,1,2,24,24,104,39,0.47133954026708524,2,1,1,3,1,0,2,1
4,3,2,4,24,24,94,27,0.3893797538253808,2,0,0,1,0,0,1,2
4,4,1,3,32,32,72,20,0.9043842278539402,2,1,0,0,0,2,0,1
5,0,1,1,64,64,88,15,0.33535813970908657,3,3,2,1,3,0,-2,0
5,1,1,0,48,48,105,50,0.5249153639524899,3,3,1,5,1,1,4,0
5,1,2,2,48,48,81,19,0.9407591739821752,1,1,1,1,1,0,0,0
5,2,1,3,48,48,92,33,0.9330328179317298,0,0,0,0,0,0,0,0
5,2,2,0,48,48,94,30,0.843388825841485,0,2,0,1,0,0,1,-2
5,3,1,2,48,48,98,31,0.5930327329591114,0,1,1,0,0,1,0,-1
5,3,2,0,48,48,86,17,1.083116671992152,1,0,0,1,0,0,1,1
5,4,1,3,64,64,67,18,1.5412093124536814,0,0,0,0,0,0,0,0
5,4,2,0,64,63,64,12,1.3134583442617,0,1,1,0,0,0,0,-1
6,0,1,1,48,48,96,35,0.3466922586922372,2,1,1,1,0,0,1,1
6,1,1,0,64,64,97,33,0.7419391578555365,2,5,1,0,2,3,-2,-3
6,1,2,2,64,57,78,16,0.9910753717345335,1,0,0,0,0,0,0,1
6,2,1,3,48,48,87,32,1.0585213731436007,1,0,1,0,0,0,0,1
6,2,2,1,48,48,87,26,0.8553729555109284,0,0,0,1,0,0,1,0
6,3,1,4,64,64,95,22,0.9470125774578104,0,0,0,0,0,0,0,0
6,4,1,3,64,64,76,27,1.4013415726227207,0,0,0,0,0,0,0,0
7,0,1,2,48,48,88,24,0.3874181256962571,0,1,7,4,1,3,3,-1
7,1,1,0,32,32,100,44,0.42062737785011894,5,0,3,3,0,2,3,5
7,2,1,3,48,48,92,37,0.9977503790233968,1,0,0,0,0,0,0,1
7,2,2,0,48,48,88,25,0.8670934836130946,2,2,1,0,0,0,0,0
7,3,1,2,48,48,96,26,0.6477150286431628,1,0,0,0,0,0,0,1
7,3,2,0,48,48,93,18,1.0319326522785108,1,0,1,0,0,0,0,1
7,4,1,2,48,48,71,24,1.3632610716834135,0,0,0,0,0,0,0,0
8,0,1,1,48,48,94,29,0.3797170846083987,1,3,1,0,0,0,0,-2
8,1,1,0,48,48,95,35,0.5306024850725395,1,2,1,0,0,1,0,-1
8,1,2,2,48,48,84,23,0.9950686236108233,0,0,1,0,0,0,0,0
8,2,1,3,64,64,89,37,1.2001156061161264,0,0,1,0,1,0,-1,0
8,2,2,1,64,64,88,26,1.1369152553043935,4,0,0,0,0,0,0,4
8,3,1,2,64,64,107,31,0.7798878418942441,0,1,0,0,0,0,0,-1
8,4,1,3,64,64,79,35,1.3501631750343073,0,0,0,0,0,0,0,0
9,0,1,1,48,48,97,29,0.27499365860462754,2,1,0,1,1,0,0,1
9,0,2,2,48,48,84,21,0.29095196150245806,3,0,0,0,0,2,0,3
9,1,1,0,64,64,100,32,0.6229747084750386,1,1,0,1,0,0,1,0
9,1,2,2,64,64,91,29,0.9585166097785658,0,0,0,1,0,0,1,0
9,2,1,1,64,64,87,28,1.087600516631042,1,1,0,0,0,2,0,0
9,2,2,4,64,64,82,22,1.3972326379917772,0,0,0,0,0,0,0,0
9,3,1,2,48,48,99,32,0.6817595697418573,1,2,0,0,0,0,0,-1
9,3,2,0,48,48,85,16,1.0297176569719182,1,0,0,1,0,0,1,1
9,4,1,3,64,61,62,18,1.5031618886870917,0,0,0,0,0,0,0,0


