class,gap_bin,agree_bin,expo_bin,w_pca,count,pca_correct,ridge_correct
0,0,0,0,0.8750,10,7,1
0,0,0,1,0.8333,11,5,1
0,0,1,0,0.5000,25,21,21
0,0,1,1,0.5000,24,12,12
0,1,0,0,1.0000,3,1,0
0,1,0,1,0.6667,7,4,2
0,1,1,0,0.5000,42,33,33
0,1,1,1,0.5000,35,33,33
0,2,0,0,0.5000,2,2,0
0,2,0,1,0.5000,0,0,0
0,2,1,0,0.5000,50,49,49
0,2,1,1,0.5000,16,16,16
1,0,0,0,0.6667,16,8,4
1,0,0,1,0.2000,13,2,8
1,0,1,0,0.5000,25,11,11
1,0,1,1,0.5000,17,3,3
1,1,0,0,0.5000,5,1,1
1,1,0,1,1.0000,6,1,0
1,1,1,0,0.5000,36,27,27
1,1,1,1,0.5000,30,18,18
1,2,0,0,0.5000,0,0,0
1,2,0,1,0.5000,0,0,0
1,2,1,0,0.5000,51,48,48
1,2,1,1,0.5000,21,19,19
2,0,0,0,0.1818,19,2,9
2,0,0,1,0.2308,21,3,10
2,0,1,0,0.5000,26,16,16
2,0,1,1,0.5000,34,19,19
2,1,0,0,0.0000,7,0,2
2,1,0,1,0.2500,8,1,3
2,1,1,0,0.5000,30,19,19
2,1,1,1,0.5000,23,11,11
2,2,0,0,0.5000,0,0,0
2,2,0,1,0.5000,0,0,0
2,2,1,0,0.5000,27,19,19
2,2,1,1,0.5000,23,20,20
3,0,0,0,0.3333,8,1,2
3,0,0,1,0.6923,15,9,4
3,0,1,0,0.5000,7,5,5
3,0,1,1,0.5000,30,16,16
3,1,0,0,0.2500,8,1,3
3,1,0,1,1.0000,3,2,0
3,1,1,0,0.5000,47,36,36
3,1,1,1,0.5000,16,11,11
3,2,0,0,0.5000,0,0,0
3,2,0,1,0.5000,0,0,0
3,2,1,0,0.5000,50,48,48
3,2,1,1,0.5000,57,51,51
4,0,0,0,0.0000,9,0,5
4,0,0,1,0.0769,15,1,12
4,0,1,0,0.5000,9,2,2
4,0,1,1,0.5000,30,26,26
4,1,0,0,0.0000,5,0,3
4,1,0,1,0.6667,4,2,1
4,1,1,0,0.5000,16,15,15
4,1,1,1,0.5000,33,28,28
4,2,0,0,0.5000,1,0,0
4,2,0,1,0.5000,1,1,0
4,2,1,0,0.5000,12,9,9
4,2,1,1,0.5000,53,52,52


