split,top_k,dim,ridge_alpha,w_base,alpha_rel,beta_hub,val_acc,test_acc,val_acc_base,test_acc_base
0,5000,64,0.1,0.5,0.5,0.0,0.722908,0.692982,0.721536,0.701754
1,6000,64,0.1,0.3,0.5,0.2,0.702332,0.736842,0.685871,0.743421
2,5000,64,0.1,0.3,1.0,0.0,0.744856,0.699561,0.724280,0.706140
3,5000,64,0.1,0.5,0.5,0.0,0.743484,0.714912,0.735254,0.703947
4,5000,64,0.1,0.7,0.5,0.0,0.731139,0.706140,0.724280,0.714912
5,6000,64,0.5,0.7,0.5,0.0,0.718793,0.714912,0.714678,0.717105
6,5000,24,0.1,0.5,1.5,0.0,0.705075,0.664474,0.687243,0.677632
7,5000,24,0.1,0.5,0.5,0.2,0.683128,0.697368,0.680384,0.710526
8,5000,64,0.1,0.6,0.5,0.0,0.732510,0.721491,0.718793,0.710526
9,3000,48,0.1,0.7,0.5,0.0,0.722908,0.706140,0.720165,0.717105


