dataset,split,class,n_nodes_all,n_nodes_test,R_c,L_c,H_c,T_c,S_c,VarSignal_c,test_acc_c
amazon-computers,0,0,436,386,0.03995088442416266,0.8548224479941126,0.10522666757030372,1.6624474781180405,0.5543712682150768,0.002458560219053891,0.9248704663212435
amazon-computers,0,1,2142,2092,0.03934896670408174,0.8431518959974681,0.11749913728298984,1.7373382359443668,0.5371936320541908,0.008016038920633514,0.8049713193116634
amazon-computers,0,2,1414,1364,0.041322394770420226,0.8613720837186842,0.09730552150034115,1.668267730554128,0.5564999269015922,0.0005234685903678461,0.9596774193548387
amazon-computers,0,3,542,492,0.04518919789975103,0.8344094817645148,0.1204013203182343,1.7369279400377047,0.5492862842354771,0.012331870731201532,0.9247967479674797
amazon-computers,0,4,5158,5108,0.04314533510088003,0.8351128958303606,0.12174176905002292,1.6672451833603776,0.5474715478606378,0.013656907821730102,0.7819107282693813
amazon-computers,0,5,308,258,0.0499586148881906,0.8372736772287218,0.11276770786573638,1.6501245111969616,0.566092428135128,0.010403309587677054,0.9612403100775194
amazon-computers,0,6,487,437,0.0431379018150051,0.847704834246079,0.10915726392558955,1.6669355982338674,0.549578223695364,0.0042514456537552274,0.8924485125858124
amazon-computers,0,7,818,768,0.04600690178541628,0.8498761614274887,0.10411693677433871,1.6955666629613793,0.5564769310583614,0.006254160334884434,0.8997395833333334
amazon-computers,0,8,2156,2106,0.0425581400645617,0.8426634963578894,0.11477836356163781,1.6861029470820692,0.5472980414643973,0.00927851202680642,0.44491927825261157
amazon-computers,0,9,291,241,0.050423916872552925,0.8278136846646593,0.12176239844511533,1.668937810390056,0.5736270111768706,0.01534830065657195,0.91701244813278

