dataset,split,class_a,class_b,O_ab,Conf_ab,Conf_ba,ConfPair_ab
chameleon,0,0,1,0.3600936071046159,0.07228915662650602,0.12371134020618557,0.1960004968326916
chameleon,0,0,2,0.29667931681655413,0.04819277108433735,0.09195402298850575,0.14014679407284308
chameleon,0,0,3,0.23314368575197975,0.07228915662650602,0.0392156862745098,0.11150484290101582
chameleon,0,0,4,0.20906489800435837,0.0,0.022988505747126436,0.022988505747126436
chameleon,0,1,0,0.36009360710461596,0.12371134020618557,0.07228915662650602,0.1960004968326916
chameleon,0,1,2,0.33902517575984686,0.07216494845360824,0.034482758620689655,0.1066477070742979
chameleon,0,1,3,0.2588941982860547,0.041237113402061855,0.049019607843137254,0.09025672124519911
chameleon,0,1,4,0.25755534312932177,0.07216494845360824,0.022988505747126436,0.09515345420073468
chameleon,0,2,0,0.2966793168165542,0.09195402298850575,0.04819277108433735,0.14014679407284308
chameleon,0,2,1,0.3390251757598468,0.034482758620689655,0.07216494845360824,0.1066477070742979
chameleon,0,2,3,0.3025502644320256,0.12643678160919541,0.10784313725490197,0.23427991886409738
chameleon,0,2,4,0.3053461087214905,0.11494252873563218,0.06896551724137931,0.1839080459770115
chameleon,0,3,0,0.23314368575197975,0.0392156862745098,0.07228915662650602,0.11150484290101582
chameleon,0,3,1,0.2588941982860547,0.049019607843137254,0.041237113402061855,0.09025672124519911
chameleon,0,3,2,0.3025502644320256,0.10784313725490197,0.12643678160919541,0.23427991886409738
chameleon,0,3,4,0.3113250333174183,0.0784313725490196,0.04597701149425287,0.12440838404327248
chameleon,0,4,0,0.20906489800435837,0.022988505747126436,0.0,0.022988505747126436
chameleon,0,4,1,0.2575553431293217,0.022988505747126436,0.07216494845360824,0.09515345420073468
chameleon,0,4,2,0.30534610872149054,0.06896551724137931,0.11494252873563218,0.1839080459770115
chameleon,0,4,3,0.31132503331741823,0.04597701149425287,0.0784313725490196,0.12440838404327248

